datetime;open;high;low;close;volume
2024-04-15;42.99000;43.40000;30.20000;30.79000;405682700
2024-04-22;31.58000;40.29000;30.5;39.80000;351697800
2024-04-29;39.60000;41.49000;33.65000;38.97000;319968000
2024-05-06;39.97000;42.24000;38.96000;41.029999;239829400
2024-05-13;41.60000;48.029999;41.049999;45.40000;217501700
2024-05-20;45.96000;53.20000;45.81000;51.44000;276506600
2024-05-27;53.34000;54.89000;44.38000;48.59000;204755800
2024-06-03;50.81000;53.87000;46.12000;51.87000;260576200
2024-06-10;50.52000;61.49000;50.42000;60.099998;240088600
2024-06-17;61;66.19000;56.029999;58.20000;212473600
2024-06-24;56.45000;58.58000;52.35000;55.36000;230693900
2024-07-01;55.36000;62.38000;52.25;60.81000;166984800
2024-07-08;62.26000;70.080002;61.22000;63.94000;259347100
2024-07-15;64.94000;66.76000;46.75;47;357646600
2024-07-22;50.049999;52.95000;37.39000;41.92000;440476800
2024-07-29;43.37000;45;28.14000;29.34000;648363200
2024-08-05;23.52000;31.94000;23.5;31.010000;750546600
2024-08-12;31.11000;40.47000;30.23000;39.73000;494824000
2024-08-19;39.28000;42.88000;37.11000;40.40000;439958300
2024-08-26;39.75;40.29000;35.29000;38.79000;445248800
2024-09-02;36.80000;36.81000;25.5;25.96000;505061300
2024-09-09;27.18000;33.72000;26.15000;33.43000;486593500
2024-09-16;32.029999;36.44000;30.84000;33.55000;512893200
2024-09-23;33.97000;40.51000;33.19000;37.66000;440114000
2024-09-30;36.25;37.53000;32.74000;36.68000;468678200
2024-10-07;35.92000;39.049999;35.57000;38.67000;345396200
2024-10-14;39.44000;41.19000;33.64000;35.27000;425812300
2024-10-21;34.84000;36.87000;32.29000;35.28000;334696000
2024-10-28;35.30000;38.45000;29.23000;30.83000;429553200
2024-11-04;30.61000;36.37000;30.010000;35.41000;362102500
2024-11-11;34.35000;34.41000;26.43000;26.66000;449674100
2024-11-18;26.70000;28.92000;26;28.49000;377294700
2024-11-25;29.58000;30.25;25.58000;28.059999;282279300
2024-12-02;28.56000;31.56000;28.46000;29.61000;325053300
2024-12-09;29.070000;31.31000;26.56000;30.70000;373553600
2024-12-16;31.12000;32.95000;25.59000;27.30000;447481200
2024-12-23;27.89000;31.10000;27.86000;29.69000;223795000
2024-12-30;28.24000;30.12000;26.93000;29.82000;279174400
2025-01-06;31.81000;33.73000;27.44000;28.059999;329283700
2025-01-13;26.44000;32.71000;26.25;32.49000;366077100
2025-01-20;33.33000;36.15000;32.31000;32.65000;223619000
2025-01-27;27.66000;29.25;23.75;27.020000;585521700
2025-02-03;24.80000;28.28000;24.31000;26.33000;382431400
2025-02-10;26.92000;28.82000;25.95000;28.55000;259326200
2025-02-17;29.20000;32.64000;28.40000;28.81000;231504600
2025-02-24;29.16000;29.26000;21.020000;22.73000;486282100
2025-03-03;23.72000;23.73000;18.75;20.88000;717271100
2025-03-10;19.34000;19.93000;16.51000;19.80000;685015600
2025-03-17;19.51000;21.37000;18.37000;19.28000;409913700
2025-03-24;20.48000;21.37000;15.74000;16.030001;485129300
2025-03-31;15.070000;16.89000;8.18000;8.73000;1160761300
2025-04-07;7.88000;13.11000;7.23000;10.23000;3099256300
2025-04-14;11.15000;11.16000;8.33000;9.20000;1184949300
2025-04-21;8.67000;12.59000;8.15000;12.34000;1487061300
2025-04-28;12.16000;13.69000;10.75;13.29000;1043667300
2025-05-05;12.93000;14.47000;12.12000;14.11000;828291800
2025-05-12;16.89000;19.37000;16.5;18.39000;910437100
2025-05-19;17.15000;18.59000;15.10000;15.73000;681893000
2025-05-26;16.74000;18.21000;15.24000;16.17000;639090800
2025-06-02;16.059999;19.99000;16.040001;19.18000;710702100
2025-06-09;19.71000;22.60000;19.68000;20.040001;733266100
2025-06-16;20.83000;22.53000;20.37000;21.21000;495324500
2025-06-23;21.18000;25.84000;20.28000;25.11000;576411100
2025-06-30;25.49000;26.72000;23.58000;26.43000;355165200
2025-07-07;25.73000;27.73000;24.62000;27.29000;430031700
2025-07-14;26.64000;28.46000;24.91000;27.33000;487906100
