datetime;open;high;low;close;volume
2018-06-29;7.20875;7.32000;7.13250;7.13875;78536000
2018-07-02;6.95750;7.30750;6.91000;7.29875;83296800
2018-07-03;7.37750;7.38500;7.028750;7.047500;56425600
2018-07-05;7.18625;7.32375;7.073750;7.30625;65622400
2018-07-06;7.35125;7.66125;7.31500;7.63500;75012000
2018-07-09;7.76000;7.85625;7.67375;7.84750;72377600
2018-07-10;7.88125;7.91875;7.78500;7.86625;66784000
2018-07-11;7.6875;7.83250;7.66125;7.75125;79829600
2018-07-12;7.84625;8.14000;7.83000;8.13375;81352000
2018-07-13;8.13500;8.20375;8.073750;8.15750;67876000
2018-07-16;8.16375;8.20750;8.060000;8.10250;55560000
2018-07-17;7.85000;8.30000;7.84750;8.25250;75593600
2018-07-18;8.25;8.27375;8.125;8.20000;46537600
2018-07-19;8.12000;8.19500;8.047500;8.078750;76874400
2018-07-20;8.14500;8.22875;8.041250;8.067500;57396000
2018-07-23;7.99625;8.15375;7.90000;8.13750;63027200
2018-07-24;8.39375;8.48125;8.14375;8.24125;95066400
2018-07-25;8.25250;8.60125;8.24625;8.58500;77241600
2018-07-26;8.24000;8.31750;8.16375;8.21000;111888000
2018-07-27;8.35500;8.36250;7.72250;7.86750;118098400
2018-07-30;7.86875;7.87625;7.41500;7.52875;100805600
2018-07-31;7.60875;7.78625;7.48875;7.67875;95712000
2018-08-01;7.75;7.85375;7.65500;7.78375;69301600
2018-08-02;7.61250;8.125;7.60500;8.09375;92242400
2018-08-03;8.13625;8.17375;8.037500;8.16625;72133600
2018-08-06;8.15625;8.32125;8.12375;8.31625;68068000
2018-08-07;8.38125;8.45000;8.33125;8.39750;71970400
2018-08-08;8.37000;8.48125;8.30000;8.42000;63434400
2018-08-09;8.41250;8.51250;8.37750;8.41250;54530400
2018-08-10;8.24500;8.31875;8.12750;8.21625;85626400
2018-08-13;8.26125;8.42125;8.18125;8.19250;92674400
2018-08-14;8.28250;8.37375;8.15375;8.34375;60727200
2018-08-15;8.15500;8.22500;7.88500;8.040000;115857600
2018-08-16;8.21750;8.26875;8.066250;8.11375;65142400
2018-08-17;8.048750;8.17750;7.90125;8.11250;70262400
2018-08-20;8.17125;8.17875;8;8.096250;67461600
2018-08-21;8.16750;8.32750;8.15125;8.18000;67069600
2018-08-22;8.125;8.30250;8.098750;8.27500;63313600
2018-08-23;8.23375;8.40750;8.19625;8.23375;71133600
2018-08-24;8.32125;8.48375;8.3125;8.46250;63956800
2018-08-27;8.59875;8.71875;8.55250;8.71750;72851200
2018-08-28;8.79000;8.82125;8.70500;8.75625;65224800
2018-08-29;8.80125;9.075000;8.79375;9.0625;65735200
2018-08-30;9.0074997;9.17000;8.91875;9.011250;87863200
2018-08-31;8.97750;9.11875;8.94625;9.037500;63180000
2018-09-04;8.95875;9.0037498;8.77875;8.93000;80209600
2018-09-05;8.875;8.87875;8.49000;8.57500;107729600
2018-09-06;8.59000;8.61625;8.17250;8.34125;115504800
2018-09-07;8.17000;8.46125;8.15250;8.25875;77009600
2018-09-10;8.38625;8.40250;8.19125;8.33125;55448800
2018-09-11;8.22125;8.56000;8.16250;8.51625;70522400
2018-09-12;8.48125;8.49875;8.22375;8.44250;88261600
2018-09-13;8.58750;8.75250;8.58375;8.69250;74676000
2018-09-14;8.72375;8.76750;8.52625;8.62625;76688000
2018-09-17;8.57750;8.60375;8.23250;8.26250;72823200
2018-09-18;8.28000;8.58125;8.26750;8.45875;72758400
2018-09-19;8.46250;8.52250;8.27375;8.44000;58962400
2018-09-20;8.60250;8.74750;8.54500;8.70500;62683200
2018-09-21;8.78250;8.82250;8.53875;8.56625;60281600
2018-09-24;8.38875;8.64875;8.28000;8.64000;52875200
2018-09-25;8.62375;8.69125;8.53875;8.67500;43259200
2018-09-26;8.68250;8.93375;8.63875;8.66625;70920000
2018-09-27;8.79500;8.99750;8.77875;8.90625;58525600
2018-09-28;8.83000;8.96875;8.78500;8.89250;61857600
2018-10-01;9.0625;9.14625;8.88500;8.94375;68232000
2018-10-02;8.92000;9.095000;8.83000;8.89250;64787200
2018-10-03;9.0012503;9.0625;8.87875;8.91875;66569600
2018-10-04;8.8125;8.82250;8.21250;8.41000;150889600
2018-10-05;8.40000;8.47875;7.85250;8.09375;132924000
2018-10-08;7.98000;8.15625;7.65500;7.94875;119353600
2018-10-09;7.95875;8.20000;7.89875;8.010000;104289600
2018-10-10;7.87375;7.88250;6.93000;6.97125;242856000
2018-10-11;6.87625;7.15625;6.47875;6.68875;222432000
2018-10-12;7.22250;7.31500;6.85000;7.25375;168488000
2018-10-15;7.18250;7.21375;6.90625;6.98000;159735200
2018-10-16;7.20500;7.64625;7.16875;7.58125;124466400
2018-10-17;7.71000;7.72250;7.36875;7.60625;130120800
2018-10-18;7.50750;7.51625;6.97625;7.078750;156348800
2018-10-19;7.22375;7.42375;6.97375;7.050000;134836800
2018-10-22;7.17625;7.32250;6.99625;7.15625;114926400
2018-10-23;6.77375;7.18500;6.52875;7.077500;176781600
2018-10-24;7.051250;7.087500;6.085000;6.11500;204842400
2018-10-25;6.38625;6.84625;6.30375;6.74250;152073600
2018-10-26;6.050000;6.60375;5.93500;6.21875;244761600
2018-10-29;6.49750;6.57500;5.48000;5.88625;217961600
2018-10-30;5.78000;6.13125;5.69625;6.11375;184865600
2018-10-31;6.40625;6.70750;6.40625;6.52625;180157600
2018-11-01;6.58375;6.82750;6.43000;6.81125;126066400
2018-11-02;6.74375;6.86625;6.35000;6.50625;174357600
2018-11-05;6.51000;6.51750;6.22000;6.44250;102600800
2018-11-06;6.42625;6.69125;6.40875;6.57875;111461600
2018-11-07;6.81375;7.19500;6.77125;7.18375;138552000
2018-11-08;7.098750;7.16500;6.95750;7.061250;117524800
2018-11-09;6.86500;6.91000;6.53625;6.70250;136739200
2018-11-12;6.5625;6.59875;6.073750;6.11375;154367200
2018-11-13;6.18375;6.4375;6.055000;6.11125;154454400
2018-11-14;6.28500;6.35250;5.86000;5.95625;156124000
2018-11-15;5.92375;6.32625;5.77625;6.27500;169816800
2018-11-16;6.095000;6.30000;6.015000;6.20625;134324800
2018-11-19;6.11500;6.14375;5.55000;5.61125;186492000
2018-11-20;5.21500;5.53000;5.087500;5.30000;202991200
2018-11-21;5.50375;5.57750;5.39000;5.41875;115115200
2018-11-23;5.28500;5.46500;5.28125;5.29875;56880000
2018-11-26;5.52250;5.67250;5.45250;5.66250;119964800
2018-11-27;5.57750;5.76500;5.48625;5.72125;120163200
2018-11-28;5.85000;6.27000;5.75;6.26375;195064800
2018-11-29;6.19000;6.33375;6.060000;6.20625;129044800
2018-11-30;6.23000;6.35500;6.14125;6.33625;116635200
2018-12-03;6.76000;6.78750;6.53125;6.66125;149343200
2018-12-04;6.56875;6.62375;5.88375;5.92875;210096000
2018-12-06;5.55125;6.027500;5.47875;6.015000;196156000
2018-12-07;5.95000;6.052500;5.375;5.42625;222987200
